I am rank 8 and the list is [0, 1, 2, 3, 4, 5]
I am rank 16 and the list is [0, 1, 2, 3, 4, 5]
I am rank 0 and the list is [0, 1, 2, 3, 4, 5]
I am rank 32 and the list is [0, 1, 2, 3, 4, 5]
I am rank 24 and the list is [0, 1, 2, 3, 4, 5]
I am rank 33 and the list is [0, 1, 2, 3, 4, 5]
I am rank 36 and the list is [0, 1, 2, 3, 4, 5]
I am rank 4 and the list is [0, 1, 2, 3, 4, 5]
I am rank 28 and the list is [0, 1, 2, 3, 4, 5]
I am rank 39 and the list is [0, 1, 2, 3, 4, 5]
I am rank 7 and the list is [0, 1, 2, 3, 4, 5]
I am rank 31 and the list is [0, 1, 2, 3, 4, 5]
I am rank 12 and the list is [0, 1, 2, 3, 4, 5]
I am rank 20 and the list is [0, 1, 2, 3, 4, 5]
I am rank 15 and the list is [0, 1, 2, 3, 4, 5]
I am rank 29 and the list is [0, 1, 2, 3, 4, 5]
I am rank 23 and the list is [0, 1, 2, 3, 4, 5]
I am rank 22 and the list is [0, 1, 2, 3, 4, 5]
I am rank 9 and the list is [0, 1, 2, 3, 4, 5]
I am rank 1 and the list is [0, 1, 2, 3, 4, 5]
I am rank 17 and the list is [0, 1, 2, 3, 4, 5]
I am rank 25 and the list is [0, 1, 2, 3, 4, 5]
I am rank 10 and the list is [0, 1, 2, 3, 4, 5]
I am rank 38 and the list is [0, 1, 2, 3, 4, 5]
I am rank 30 and the list is [0, 1, 2, 3, 4, 5]
I am rank 14 and the list is [0, 1, 2, 3, 4, 5]
I am rank 18 and the list is [0, 1, 2, 3, 4, 5]
I am rank 26 and the list is [0, 1, 2, 3, 4, 5]
I am rank 6 and the list is [0, 1, 2, 3, 4, 5]
I am rank 2 and the list is [0, 1, 2, 3, 4, 5]
I am rank 34 and the list is [0, 1, 2, 3, 4, 5]
I am rank 5 and the list is [0, 1, 2, 3, 4, 5]
I am rank 37 and the list is [0, 1, 2, 3, 4, 5]
I am rank 3 and the list is [0, 1, 2, 3, 4, 5]
I am rank 13 and the list is [0, 1, 2, 3, 4, 5]
I am rank 21 and the list is [0, 1, 2, 3, 4, 5]
I am rank 11 and the list is [0, 1, 2, 3, 4, 5]
I am rank 19 and the list is [0, 1, 2, 3, 4, 5]
I am rank 27 and the list is [0, 1, 2, 3, 4, 5]
I am rank 35 and the list is [0, 1, 2, 3, 4, 5]
The total run-time = 5.41e-02
